Neighborhood,PostalCode
Berlin-Adlershof,"12487, 12489"
Berlin-Alt-Hohenschönhausen,"13051, 13053, 13055"
Berlin-Alt-Treptow,12435
Berlin-Altglienicke,12524
Berlin-Baumschulenweg,"12437, 12487"
Berlin-Biesdorf,12683
Berlin-Blankenburg,"13051, 13129"
Berlin-Blankenfelde,"13127, 13159"
Berlin-Bohnsdorf,12526
Berlin-Borsigwalde,13509
Berlin-Britz,"12099, 12347, 12349, 12351, 12359"
Berlin-Buch,13125
Berlin-Buckow,"12107, 12305, 12349, 12351, 12353, 12357, 12359"
Berlin-Charlottenburg,"10585, 14059"
Berlin-Charlottenburg-Nord,"10589, 13353, 13627, 13629"
Berlin-Dahlem,"14169, 14193, 14195"
Berlin-Falkenberg,13057
Berlin-Falkenhagener Feld,"13583, 13585, 13589, 13591"
Berlin-Fennpfuhl,"10367, 10369"
Berlin-Französisch Buchholz,"13127, 13129, 13156"
Berlin-Friedenau,"10827, 12159, 12161, 12163, 14197"
Berlin-Friedrichsfelde,"10315, 10317, 10319"
Berlin-Friedrichshagen,12587
Berlin-Friedrichshain,"10243, 10245, 10247, 10249"
Berlin-Frohnau,13465
Berlin-Gatow,14089
Berlin-Gesundbrunnen,"13347, 13353, 13355, 13357, 13359, 13409"
Berlin-Gropiusstadt,"12351, 12353, 12357"
Berlin-Grünau,12527
Berlin-Grunewald,"10711, 14055, 14193, 14195, 14199"
Berlin-Hakenfelde,"13585, 13587, 13589"
Berlin-Halensee,"10709, 10711, 10713"
Berlin-Hansaviertel,"10555, 10557"
Berlin-Haselhorst,13599
Berlin-Heiligensee,"13503, 13505"
Berlin-Heinersdorf,"13088, 13089, 13129"
Berlin-Hellersdorf,"12619, 12621, 12627, 12629"
Berlin-Hermsdorf,"13465, 13467"
Berlin-Johannisthal,"12437, 12487, 12489"
Berlin-Karlshorst,10318
Berlin-Karow,13125
Berlin-Kaulsdorf,"12619, 12621, 12623"
Berlin-Kladow,14089
Berlin-Konradshöhe,13505
Berlin-Köpenick,"12459, 12555, 12557, 12559, 12587"
Berlin-Kreuzberg,"10785, 10961, 10963, 10965, 10967, 10969, 10997, 10999"
Berlin-Lankwitz,"12247, 12249"
Berlin-Lichtenberg,"10315, 10317, 10365, 10367, 10369"
Berlin-Lichtenrade,"12107, 12305, 12307, 12309"
Berlin-Lichterfelde,"12203, 12205, 12207, 12209, 14167, 14169, 14195"
Berlin-Lübars,13469
Berlin-Mahlsdorf,12623
Berlin-Malchow,13051
Berlin-Mariendorf,"12099, 12103, 12105, 12107, 12109, 12277"
Berlin-Marienfelde,"12107, 12249, 12277, 12279, 12307"
Berlin-Märkisches Viertel,"13435, 13439"
Berlin-Marzahn,"12679, 12681, 12685, 12687, 12689"
Berlin-Mitte,"10115, 10117, 10119, 10178, 10179, 10435"
Berlin-Moabit,"10551, 10553, 10555, 10557, 10559"
Berlin-Müggelheim,12559
Berlin-Neu-Hohenschönhausen,"13051, 13053, 13057, 13059"
Berlin-Neukölln,"10965, 12099"
Berlin-Niederschöneweide,"12437, 12439"
Berlin-Niederschönhausen,"13156, 13158"
Berlin-Nikolassee,"14109, 14129, 14163, 14193"
Berlin-Oberschöneweide,12459
Berlin-Pankow,"10439, 13187, 13189"
Berlin-Plänterwald,"12435, 12437"
Berlin-Prenzlauer Berg,"10119, 10439"
Berlin-Rahnsdorf,12589
Berlin-Reinickendorf,"13403, 13405, 13407, 13409, 13437, 13509"
Berlin-Rosenthal,"13156, 13158"
Berlin-Rudow,"12351, 12353, 12355, 12357, 12359"
Berlin-Rummelsburg,10317
Berlin-Schmargendorf,"14193, 14195, 14199"
Berlin-Schmöckwitz,12527
Berlin-Schöneberg,"10777, 12159"
Berlin-Siemensstadt,"13599, 13627, 13629"
Berlin-Spandau,"13581, 13583, 13585, 13587, 13597, 14052"
Berlin-Staaken,"13581, 13591, 13593"
Berlin-Stadtrandsiedlung Malchow,"13051, 13088, 13129"
Berlin-Steglitz,"12157, 12161, 12163, 12165, 12167, 12169, 12247, 14195"
Berlin-Tegel,"13403, 13405, 13503, 13505, 13507, 13509, 13599, 13629"
Berlin-Tempelhof,"10965, 12099, 12101, 12103, 12105, 12109, 12279"
Berlin-Tiergarten,"10557, 10785, 10787, 10963"
Berlin-Waidmannslust,13469
Berlin-Wannsee,14109
Berlin-Wartenberg,"13051, 13059"
Berlin-Wedding,"13347, 13409"
Berlin-Weißensee,"13086, 13088"
Berlin-Westend,"14050, 14052, 14053, 14055, 14057, 14059"
Berlin-Wilhelmsruh,13158
Berlin-Wilhelmstadt,"13581, 13593, 13595, 13597"
Berlin-Wilmersdorf,"10707, 14199"
Berlin-Wittenau,"13403, 13407, 13435, 13437, 13439, 13469, 13509"
Berlin-Zehlendorf,"14129, 14163, 14165, 14167, 14169"
